document,page,section,text,source_file
Student Handbook August 2026,1,,Student Handbook AUGUST 2026,Student_Handbook_August_2026.pdf
Student Handbook August 2026,3,Academic Regulations,"CONTENTS SECTION DESCRIPTION NO PREAMBLE, SHORT TITLE, COMMENCEMENT AND APPLICATION 1 About the University……………………………………………………………….1 2 Vision, Mission and Core Values……………………………………………….1 3 Integrity………………………………………………………………………………2 4 Academic Freedom…………………………………………………………………2 I 5 Diversity, Equity and Inclusion…………………………………………………2 6 Short Titles, Commencement and Applications ………………………….. 2 7 Definitions ………………………………………………………………………….2 ADMISSION RULES, FEE POLICY, AND SCHOLARSHIP 1 Admission Rules………………………………………………………………… ..7 2 Fee Policy…………………………………………………………………………… 7 II 3 Payment of University Fee……………………………………………………… 8 4 Payment Procedure……………………………………………………………… 9 5 Fee Concession and Scholarship Policy……………………………………..10 ACADEMIC REGULATIONS 1. Academic Calendar…………………………………………………………….15 2. Registration………………………………………………………………………15 3. Academic Credits - Course Credit Structure…………………………….19 4. Program Regulations…………………………………………………………..20 5. Medium of Instruction and Evaluation……………………………………20 6. Maximum Duration for the Completion of a Program………………….20 7. Attendance Requirements…………………………………………………….21 8. Teaching, Evaluation and Grading System………………………………22 9. Examinations…………………………………………………………………..29 10. Academic Appeals…………………………………………………………… 32 III 11. Summer Term………………………………………………………………. 32 12. Progression…………………………………………………………………… 34 13. Withdrawal/Re-joining……………………………………………………. 36 14. Transfer of Credits …………………………………………………………. 37 15. Award of Degree…………………………………………………………….. 38 16. Convocation……………………………………………………………………39 17. Power To Revise, Modify and Amend…………………………………….39",Student_Handbook_August_2026.pdf
Student Handbook August 2026,4,,"Code of Conduct 1 Introduction………………………………………………………………………43 2 Unique VU Experience…………………………………………………………43 IV 3 Attributes of a Vidyashilp Graduate………………………………………..43 4 VU Student Code of Conduct…………………………………………………44 5 Failure to Comply with the Code of Conduct……………………………..46 Guidelines on Banning Ragging and Anti-Ragging Measures 1 Introduction……………………………………………………………………….49 2 Definition of Ragging…………………………………………………………….49 V 3 Prohibition of Ragging……………………………………………………………50 4 Punishment for Ragging…………………………………………………………50 5 Anti Ragging Committee ……………………………………………….………50 6 Action Procedure………………………………………………………………….52 7 Anti Ragging Affidavit …………………………………………………………..52 Guidelines on Prevention of Sexual Harassment 1Introduction………………………………………………………………………..57 2 Responsibility of the University………………………………………………58 3 Constitution of ICC……………………………………………………………..58 VI 4 Role of ICC………………………………………………………………………..59 5 How to Lodge a Complaint…………………………………………………….59 6 Process and Timeline of Conducting an Inquiry………………………….59 7 Action against Offenders……………………………………………………….60 8 Action against False or Frivolous Complaints…………………………….60 Ombudsperson VII 1 Introduction………………………………………………………………………63 Procedure to Submit an Application……………………………………………63 Dress Code 1 Value and Credit for Higher Learning, Personal Excellence and Professionalism……………………………………………………………………..67 2 Smart Casual Attire………………………………………………………………67 3 Hygiene, Grooming and Appearance…………………………………………67 VIII 4 Representations of the University Externally………………………………68 5 Internship………………………………………………………………………….68 6 Interviews…………………………………………………………………………..68 7 Formal Gathering at the University……………………………………….…68 8 Informal Events………………………………………………………………..…68 9 Compliance and Enforcement…………………………………………………68",Student_Handbook_August_2026.pdf
Student Handbook August 2026,5,,Malpractice in Examination Hall IX 1 List of Categories of Offence………………………………………………….71 2 Description of Implications……………………………………………………72 X Knowledge Resource Centre [KRC]………………………………………75 Sports Policy……………………………………………………………………. 1 Objective……………………………………………………………………79 2 Scope ……………………………………………………………………….79 3 Sports Program and activities …………………………………………80 4 Facilities ……………………………………………………………………81 XI 5 Code of Conduct ………………………………………………………….81 6 Support and Development………………………………………………81 7 Health Safety ……………………………………………………………..82 8 Contact Information …………………………………………………….82 9 Conclusions………………………………………………………………..82 XII Important Contact Numbers ……………………………………………. 83,Student_Handbook_August_2026.pdf
Student Handbook August 2026,7,,"SECTION - I PREAMBLE, SHORT TITLE, COMMENCEMENT AND APPLICATION",Student_Handbook_August_2026.pdf
Student Handbook August 2026,9,,"ABOUT UNIVERSITY Vidyashilp University is the culmination of an outstanding legacy of the Vidyashilp Education Group, committed to excellence in education. Vidyashilp University aims to foster an environment and culture of collaboration, responsiveness, high performance and service. We are people-centred and have a strongly desire to provide a unique Vidyashilp Experience to our students and staff, focused on nurturing students who will become self- aware, confident, empathetic and resourceful leaders who will serve society to the best of their abilities. The VU Experience fosters a climate for collaboration between individuals and groups from diverse cultures and backgrounds. VU creates a diverse, inclusive community and environment where VU faculty, staff, students and parents, and alumni feel connected to one another by a common sense of purpose, pride, and spirit, and develop a distinctive ability to work, learn, lead and serve in diverse contexts. VU’s primary educational goal is the cultivation of deep domain knowledge within each student’s chosen field. We believe that investing in all domains of our differentiated focus areas is essential to create intellectual capital to drive progress and achieve excellence. At VU, our schools don’t function in silos but rather with an interdisciplinary dependence. We focus on a problem-solving approach and provide program choices across all four schools with a curriculum established in Data Science, Digital Business, Design Studies, Legal Studies and Liberal Arts. VISION, MISSION AND CORE VALUES OUR VISION We aspire to provide meaningful, collective learning experiences that result in conscientious leadership for a progressive, yet sustainable society. OUR MISSION x We inspire people locally, nationally and globally by extending access to Vidyashilp University’s innovative teaching and resources through inclusive and flexible opportunities to study and research. x To develop human values and human potential to its fullest extent so that intellectually capable and imaginatively gifted leaders can emerge in a range of professions. 1",Student_Handbook_August_2026.pdf
Student Handbook August 2026,10,Academic Regulations,"OUR VALUES INTEGRITY – We embrace integrity as a central value in all aspects of personal and professional engagement – including learning, teaching, governance and service – to instil a culture of trust and accountability. ACADEMIC FREEDOM – We affirm the principles of academic freedom for both students and teachers, their rights and responsibilities to advance knowledge through research and creativity, and to educate students to develop their own independence of mind. DIVERSITY, EQUITY AND INCLUSION – We assert that diversity and interplay of differences is essential to educational excellence and to enrich the individual and collective learning experiences. Short Title, Commencement and Application a. These Regulations shall be called Academic Regulations. b. They shall come into force with immediate effect. c. The Academic Regulations are applicable to all existing Degree and Diploma Programs of the University. Any amendments made therein, shall also be applicable to new Degree and Diploma Programs that may be offered by the University in the future. d. Specific aspects of the Regulations pertaining to a particular Degree Program are given separately along with the concerned Program Regulations. e. These Regulations may evolve and get amended or modified or changed through appropriate approvals from the Academic Council, from time to time, and shall be binding on all concerned. f. Additional Regulations, if any, prescribed by the Regulatory / Statutory Bodies for a particular Degree Program shall be included in the concerned Program Regulations. Definitions In these Regulations, unless the context otherwise requires: a) “Academic Calendar” means the schedule of academic and miscellaneous events as approved by the Academic Council; b) “Academic Council” means the Academic Council of the University; c) “Academic Regulations” means the Academic Regulations of the University; d) “Academic Term” means a Semester or Summer Term; e) “Act” means the Vidyashilp University Act, 2020; f) “Board of Governors” means the Board of Governors of University as specified by the Act; 2",Student_Handbook_August_2026.pdf
Student Handbook August 2026,11,Summer Term,"g) “Board of Management” means the Board of Management of University as specified by the Act; h) “BoS” means the Board of Studies of a particular School / Department / Program of the University; i) “Clause” means duly numbered Clauses of these Regulations; j) “Course” means, a specific subject usually identified by its Course number and Course title, with specified credits and a Course Plan, taught by some teacher(s)/Course-instructor(s) to a specific class (group of students) during a specific academic term/semester; k) “Course Instructor” means, the teacher/faculty member or the Course instructor of a Course; l) “Dean” means the Dean of School / Centre of the University; m) “Degree Program” includes all Degree Programs; n) “Program Chair” means the Program Chair / Head of the Department / School within the University; o) “PAC” means, the Program Academic Committee of a concerned Program of Study of the University; p) “Program Regulations” means the Program Regulations governing a specific Degree Program offered by the University, and includes the set of Program-Specific Regulations, Program Structure and Curriculum; q) “Program Structure and Curriculum” means the components of the Program Curriculum, Courses with Credits and the mandatory minimum credits to be earned in each component for the award of the degree; r) “Registrar” means the Registrar of the University; s) “Registrar (Evaluation)” means the Registrar (Evaluation) of the University; t) “School/Department” means a constituent School / Department / Centre of the University established for monitoring, supervising and guiding, teaching, training and research activities in broadly related fields of studies; u) “Section” means duly numbered Sections of these Regulations; v) “Statutes” means the Statues of Vidyashilp University; w) “Sub-Clause” means duly numbered Sub-Clauses of these Regulations; x) ""Summer Term” means an additional academic term conducted during the summer break (typically in June-July) for a duration of about eight (08) calendar weeks; y) “University / VU” means Vidyashilp University; and z) “Vice Chancellor” means the Vice Chancellor of the University. 3",Student_Handbook_August_2026.pdf
Student Handbook August 2026,12,,4,Student_Handbook_August_2026.pdf
Student Handbook August 2026,13,Scholarship,"SECTION - II ADMISSION RULES, FEE POLICY, AND SCHOLARSHIP POLICY 5",Student_Handbook_August_2026.pdf
